type_hash	class_name	extension	live_jpn_count	in_revil_sb3	in_revil_sbsh	example_internal_path
0x241F5DEB	rTexture	tex	47458	yes	yes	msg\ascii\jpn\ascii_00_ID_HQ
0x10C460E6	rMessage	msg	2922	yes	yes	msg\ascii\jpn\ascii
0x2EA515BF	rMessageInfo	mif	2922	yes	yes	msg\ascii\jpn\ascii
0x19DB4587	rRoomData	rdt	2760	yes	yes	stage\st000\m000\st000_000
0x167DBBFF	rSoundStreamRequest	stq	1512	yes	yes	sound\stream\bgm\bgm
0x1D609FFB	rFontCode	fnt	1461	yes	yes	msg\ascii\jpn\ascii
0x5E0EF076	rAscii	asc	1461	yes	yes	msg\ascii\jpn\ascii
0x73850D05	rArchive	arc	117	yes	yes	rom\jpn\common\pl_face\pl000
0x58A15856	rModel	mod	111	yes	yes	stage\msel\msel-m-back
0x6D5AE854	rEffectList	efl	101	yes	yes	effect\efl\men\men_001
0x276DE8B7	rEffect2D	e2d	93	yes	yes	effect\e2d\idc\idc000
0x0B52347D	rPlParam	ppm	90	yes	yes	actorParam\pl000\pl000
0x60DD1B16	rLayoutSpr	lsp	89	yes	yes	id\lsp\jpn\loading\loading
0x30FC745F	rSoundSubMixer	smx	32	yes	yes	sound\submixer\SubMixerBase
0x4C0DB839	rScheduler	sdl	15	yes	yes	Fade\fade_in
0x4E397417	rEffectAnim	ean	15	yes	yes	effect\ean\com00
0x76042FD2	rEffectCollect	eco	9	yes	yes	effect\xls\efl_RES00
0x7C067B17	rWeaponData	wpd	7	yes	yes	misc\weapon_data\wp000_00
0x398BD2C5	rOtomoData	otm	5	yes	yes	misc\otomo\list
0x7E33A16C	rSoundPackage	spc	5	yes	yes	sound\se\game_common\se_game_common
0x1BCC4966	rSoundRequest	srq	5	yes	yes	sound\se\game_common\se_game_common
0x255926EF	rAnimeTexSrtList	ltsa	5	yes	yes	stage\msel\tsa\msel_msel
0x0315E81F	rSoundDirectionalSet	sds	4	yes	yes	sound\se\basara3_00
0x7DC513BA	rQuestInfo	qif	4	yes	no	misc\quest\default
0x619CF7E7	rPalette	plt	4	yes	yes	msg\ascii\jpn\ascii_00_ID_HQ
0x494CE020	rRewardDrop	rew	4	yes	no	misc\reward_drop\tamate
0x6005E229	rFontColor	fcl	3	yes	yes	msg\font
0x2D12E086	rSoundRandom	srd	3	yes	yes	sound\se\system_common\se_system_common
0x3CFBE7D5	rPlParamCommon	ppc	3	yes	yes	actorParam\plcommon\plcommon
0x76820D81	rMotionList	lmt	3	yes	yes	stage\msel\motion\msel_msel
0x4323D83A	rSceneTexture	stex	3	yes	yes	misc\tenka_sub_scene\sub_scene2
0x0ECD7DF4	rSoundCurveSet	scs	2	yes	yes	sound\se\basara3_00
0x232E228C	rSoundReverb	rev_ps3	2	yes	yes	sound\se\basara3
0x2B40AE8F	rSoundEQ	equ	2	yes	yes	sound\se\basara3
0x23DBF8CE	rBasaraShop	bsh	2	yes	no	misc\reward_data\shop
0x6246E90D	rSchedulerCtrl	scn	2	yes	yes	stage\msel\mmsel\sdl\msel_msel
0x340AD7F6	rAnimeMatList	lcla	2	yes	yes	stage\msel\cla\msel_msel
0x39C52040	rCameraList	lcm	2	yes	yes	stage\msel\cam\msel
0x1DA0352D	rTenkaPlInfo	tpi	2	yes	no	misc\storyRoute\default
0x5B99F299	rTenkaUnlock	tul	2	yes	no	misc\storyRoute\unlock
0x0D49BAAE	rOtomoPresent	pre	1	yes	yes	misc\otomo_present\otomo_present
0x280C9CB7	rSetModelInfo	smi	1	yes	yes	stage\msel\mmsel\msel_msel
0x015D1B6B	rScrSetData	sst	1	yes	yes	stage\msel\mmsel\msel_msel
0x4CD902BC	rVersusPlayerInfo	vpi	1	yes	no	misc\versus\plinfo
0x314ACB2A	rVersus30Player	v30	1	yes	no	misc\versus\plinfo
0x4115DFF1	rFieldPos	fpd	1	yes	yes	misc\storyRoute\default
0x0C103FAA	rFieldInfo	fif	1	yes	no	misc\storyRoute\default
0x1ACCC2DD	rEvtParam	etp	1	yes	no	misc\storyRoute\default
