"index","name","type","texture","position","scale","parent"
"0","SysRoot","4","","System.Object[]","System.Object[]","-1"
"1","0","4","","System.Object[]","System.Object[]","0"
"2","1","4","","System.Object[]","System.Object[]","0"
"3","2","4","","System.Object[]","System.Object[]","0"
"4","3","4","","System.Object[]","System.Object[]","0"
"5","3_0","4","","System.Object[]","System.Object[]","4"
"6","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","5"
"7","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","5"
"8","Rail","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","5"
"9","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","5"
"10","Memori","2","id\texture\jpn\common\common_006_ID_HQ","System.Object[]","System.Object[]","5"
"11","3_1","4","","System.Object[]","System.Object[]","4"
"12","Line","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"13","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"14","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"15","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"16","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"17","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"18","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","11"
"19","4","4","","System.Object[]","System.Object[]","0"
"20","4_0","4","","System.Object[]","System.Object[]","19"
"21","4_0_0","4","","System.Object[]","System.Object[]","20"
"22","Wep_K","3","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","21"
"23","Wep","2","id\dummy_BM","System.Object[]","System.Object[]","21"
"24","Zokusei","2","id\texture\jpn\common\common_008_ID_HQ","System.Object[]","System.Object[]","21"
"25","Menuki","2","id\dummy_BM","System.Object[]","System.Object[]","21"
"26","Menuk_K","2","id\texture\jpn\tenka\tenka_000_ID_HQ","System.Object[]","System.Object[]","21"
"27","New","2","id\texture\jpn\common\common_018_ID_HQ","System.Object[]","System.Object[]","21"
"28","4_0_0_0","4","","System.Object[]","System.Object[]","21"
"29","Waku_ua","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","28"
"30","Waku_ub","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","28"
"31","Waku_uc","2","id\texture\jpn\tenka\tenka_018_ID_HQ","System.Object[]","System.Object[]","28"
"32","4_0_0_1","4","","System.Object[]","System.Object[]","21"
"33","Wep_K_p","2","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","32"
"34","Wep_text","2","id\texture\jpn\tenka\tenka_010_ID_HQ","System.Object[]","System.Object[]","32"
"35","4_0_0_1_0","4","","System.Object[]","System.Object[]","32"
"36","4_0_0_1_0_0","4","","System.Object[]","System.Object[]","35"
"37","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","36"
"38","Suji","2","id\texture\jpn\common\common_010_ID_HQ","System.Object[]","System.Object[]","36"
