== PS3_GAME/USRDIR/nativePS3/rom/eng/title.arc  entries=357  endian=> version=8
  [   0] sound\se\system_common\se_system_common  type=0x7E33A16C comp=1154934 raw=1244160
  [   1] sound\se\system_common\se_system_common  type=0x2D12E086 comp=45 raw=156
  [   2] sound\se\system_common\se_system_common  type=0x1BCC4966 comp=2746 raw=33840
  [   3] effect\xls\efl_SEL00  type=0x76042FD2 comp=25 raw=44
  [   4] effect\ean\com00  type=0x4E397417 comp=505 raw=1520
  [   5] effect\tex\com00  type=0x241F5DEB comp=616173 raw=2795560
  [   6] effect\ean\smk00  type=0x4E397417 comp=473 raw=1488
  [   7] effect\tex\smk00  type=0x241F5DEB comp=527763 raw=1396772
  [   8] effect\e2d\men\men000  type=0x276DE8B7 comp=564 raw=4544
  [   9] effect\ean\stg05  type=0x4E397417 comp=144 raw=352
  [  10] effect\tex\stg05  type=0x241F5DEB comp=67078 raw=349220
  [  11] stage\msel\msel-t-tabibito0_BM_NOMIP  type=0x241F5DEB comp=18251 raw=32788
  [  12] stage\msel\msel-t-tabibito2_BM_NOMIP  type=0x241F5DEB comp=18120 raw=32788
  [  13] stage\msel\msel-t-tabibito1_BM_NOMIP  type=0x241F5DEB comp=18552 raw=32788
  [  14] effect\efl\men\men_001  type=0x6D5AE854 comp=1703 raw=22016
  [  15] effect\ean\com01  type=0x4E397417 comp=368 raw=984
  [  16] effect\tex\com01  type=0x241F5DEB comp=293105 raw=1396772
  [  17] effect\efl\men\men_002  type=0x6D5AE854 comp=457 raw=3664
  [  18] id\texture\jpn\kamon\kamon_000_ID_HQ  type=0x241F5DEB comp=56926 raw=262164
  [  19] id\texture\jpn\kamon\kamon_001_ID_HQ  type=0x241F5DEB comp=13586 raw=262164
  [  20] id\texture\jpn\kamon\kamon_002_ID_HQ  type=0x241F5DEB comp=24056 raw=262164
  [  21] id\texture\jpn\kamon\kamon_028_ID_HQ  type=0x241F5DEB comp=33915 raw=262164
  [  22] id\texture\jpn\kamon\kamon_004_ID_HQ  type=0x241F5DEB comp=21163 raw=262164
  [  23] id\texture\jpn\kamon\kamon_003_ID_HQ  type=0x241F5DEB comp=47746 raw=262164
  [  24] id\texture\jpn\kamon\kamon_006_ID_HQ  type=0x241F5DEB comp=21015 raw=262164
  [  25] id\texture\jpn\kamon\kamon_005_ID_HQ  type=0x241F5DEB comp=54167 raw=262164
  [  26] id\texture\jpn\kamon\kamon_008_ID_HQ  type=0x241F5DEB comp=32446 raw=262164
  [  27] id\texture\jpn\kamon\kamon_007_ID_HQ  type=0x241F5DEB comp=5311 raw=262164
  [  28] id\texture\jpn\kamon\kamon_009_ID_HQ  type=0x241F5DEB comp=35099 raw=262164
  [  29] id\texture\jpn\kamon\kamon_010_ID_HQ  type=0x241F5DEB comp=62216 raw=262164
  [  30] id\texture\jpn\kamon\kamon_011_ID_HQ  type=0x241F5DEB comp=11793 raw=262164
  [  31] id\texture\jpn\kamon\kamon_012_ID_HQ  type=0x241F5DEB comp=28748 raw=262164
  [  32] id\texture\jpn\kamon\kamon_013_ID_HQ  type=0x241F5DEB comp=11100 raw=262164
  [  33] id\texture\jpn\kamon\kamon_014_ID_HQ  type=0x241F5DEB comp=38493 raw=262164
  [  34] id\texture\jpn\kamon\kamon_016_ID_HQ  type=0x241F5DEB comp=34556 raw=262164
  [  35] id\texture\jpn\kamon\kamon_017_ID_HQ  type=0x241F5DEB comp=25442 raw=262164
  [  36] id\texture\jpn\kamon\kamon_018_ID_HQ  type=0x241F5DEB comp=10220 raw=262164
  [  37] id\texture\jpn\kamon\kamon_019_ID_HQ  type=0x241F5DEB comp=15814 raw=262164
  [  38] id\texture\jpn\kamon\kamon_020_ID_HQ  type=0x241F5DEB comp=45960 raw=262164
  [  39] id\texture\jpn\kamon\kamon_024_ID_HQ  type=0x241F5DEB comp=16685 raw=262164
  [  40] id\texture\jpn\kamon\kamon_026_ID_HQ  type=0x241F5DEB comp=5073 raw=262164
  [  41] id\texture\jpn\kamon\kamon_027_ID_HQ  type=0x241F5DEB comp=8597 raw=262164
  [  42] effect\efl\men\men_003  type=0x6D5AE854 comp=2308 raw=38992
  [  43] effect\efl\men\men_004  type=0x6D5AE854 comp=922 raw=7408
  [  44] effect\efl\men\men_005  type=0x6D5AE854 comp=729 raw=5200
  [  45] effect\efl\men\men_006  type=0x6D5AE854 comp=423 raw=2528
  [  46] effect\efl\men\men_007  type=0x6D5AE854 comp=247 raw=1792
  [  47] effect\efl\men\men_008  type=0x6D5AE854 comp=632 raw=5968
  [  48] effect\efl\men\men_009  type=0x6D5AE854 comp=1923 raw=29472
  [  49] effect\efl\men\men_010  type=0x6D5AE854 comp=566 raw=3472
  [  50] effect\xls\efl_MEN00  type=0x76042FD2 comp=110 raw=360
  [  51] effect\e2d\idc\idc000  type=0x276DE8B7 comp=296 raw=2176
  [  52] effect\e2d\idc\idc001  type=0x276DE8B7 comp=326 raw=2752
  [  53] effect\e2d\idc\idc002  type=0x276DE8B7 comp=322 raw=2368
  [  54] effect\e2d\idc\idc003  type=0x276DE8B7 comp=392 raw=3328
  [  55] effect\e2d\idc\idc004  type=0x276DE8B7 comp=418 raw=3904
  [  56] effect\e2d\idc\idc005  type=0x276DE8B7 comp=542 raw=4608
  [  57] effect\e2d\idc\idc006  type=0x276DE8B7 comp=363 raw=2752
  [  58] effect\ean\itm00  type=0x4E397417 comp=41 raw=56
  [  59] effect\tex\itm00  type=0x241F5DEB comp=16452 raw=43036
  [  60] effect\e2d\idc\idc007  type=0x276DE8B7 comp=530 raw=4096
