relative,kind,category,utage_eng_size,utage_eng_sha256,utage_jpn_size,utage_jpn_sha256,sh_eng_size,sh_eng_sha256,utage_eng_equals_jpn
cd/cd000_000.arc,payload,shared_exact,44678,affcb65b223122e82617b2c6f31d50003159946041df298385efe75d097242c8,83773,fc10ab6601692597ce5f018c027d7701cfdf65c2c032d54b5b3a4922671b71f6,44678,affcb65b223122e82617b2c6f31d50003159946041df298385efe75d097242c8,False
cd/cd000_001.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd000_002.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd000_003.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd000_004.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd000_005.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd000_006.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd001_000.arc,payload,shared_exact,53870,76b74a956ff9afffe14a69948d5a44d1af1b32d13f031e3c69e68ae8bc92b7a7,73096,1150df4e08492aea9933aab4102491296bd7b39fd32127061f45fb20f89bd39b,53870,76b74a956ff9afffe14a69948d5a44d1af1b32d13f031e3c69e68ae8bc92b7a7,False
cd/cd001_001.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
cd/cd001_002.arc,alias,shared_exact,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,8,79695e498f789131323af85c74d9e96a5e22433cebc75563fcafb767e6d2d8cc,True
